INFO - latent_diffusion_cond.py - 2025-12-28 12:38:50,119 - Wandb initialized
PlantVillageLatent train: 17542 images, 15 classes
  Class distribution: {10: 1427, 2: 861, 7: 1630, 12: 2725, 3: 871, 6: 850, 14: 1322, 5: 1786, 0: 850, 1: 1250, 11: 1218, 9: 1494, 8: 812, 13: 317, 4: 129}
PlantVillageLatent val: 1547 images, 15 classes
  Class distribution: {1: 113, 10: 125, 2: 63, 14: 136, 7: 129, 12: 246, 6: 69, 8: 75, 3: 60, 9: 139, 11: 93, 5: 172, 13: 37, 0: 79, 4: 11}
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:32,597 - Saved 500 real images for val
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:33,657 - Training: 17542 samples, 15 classes
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:33,658 - Batch: 64, Steps: 200000
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:33,659 - AMP: True (torch.bfloat16)
INFO - latent_diffusion_cond.py - 2025-12-28 12:41:14,273 - Step 100, Loss: 0.7920, LR: 0.000005
INFO - latent_diffusion_cond.py - 2025-12-28 12:42:15,386 - Step 200, Loss: 0.4413, LR: 0.000010
INFO - latent_diffusion_cond.py - 2025-12-28 12:43:17,659 - Step 300, Loss: 0.4434, LR: 0.000015
INFO - latent_diffusion_cond.py - 2025-12-28 12:44:17,818 - Step 400, Loss: 0.3355, LR: 0.000020
INFO - latent_diffusion_cond.py - 2025-12-28 12:45:17,973 - Step 500, Loss: 0.2988, LR: 0.000025
INFO - latent_diffusion_cond.py - 2025-12-28 12:46:19,851 - Step 600, Loss: 0.2968, LR: 0.000030
INFO - latent_diffusion_cond.py - 2025-12-28 12:47:20,553 - Step 700, Loss: 0.3927, LR: 0.000035
INFO - latent_diffusion_cond.py - 2025-12-28 12:48:20,803 - Step 800, Loss: 0.2933, LR: 0.000040
INFO - latent_diffusion_cond.py - 2025-12-28 12:49:23,206 - Step 900, Loss: 0.3160, LR: 0.000045
INFO - latent_diffusion_cond.py - 2025-12-28 12:50:23,532 - Step 1000, Loss: 0.2736, LR: 0.000050
INFO - latent_diffusion_cond.py - 2025-12-28 12:51:25,049 - Step 1100, Loss: 0.2875, LR: 0.000055
INFO - latent_diffusion_cond.py - 2025-12-28 12:52:24,635 - Step 1200, Loss: 0.2525, LR: 0.000060
INFO - latent_diffusion_cond.py - 2025-12-28 12:53:24,460 - Step 1300, Loss: 0.3173, LR: 0.000065
INFO - latent_diffusion_cond.py - 2025-12-28 12:54:25,729 - Step 1400, Loss: 0.2727, LR: 0.000070
INFO - latent_diffusion_cond.py - 2025-12-28 12:55:25,675 - Step 1500, Loss: 0.2860, LR: 0.000075
INFO - latent_diffusion_cond.py - 2025-12-28 12:56:25,259 - Step 1600, Loss: 0.2639, LR: 0.000080
INFO - latent_diffusion_cond.py - 2025-12-28 12:57:26,561 - Step 1700, Loss: 0.3073, LR: 0.000085
INFO - latent_diffusion_cond.py - 2025-12-28 12:58:26,791 - Step 1800, Loss: 0.3490, LR: 0.000090
INFO - latent_diffusion_cond.py - 2025-12-28 12:59:26,492 - Step 1900, Loss: 0.2995, LR: 0.000095
INFO - latent_diffusion_cond.py - 2025-12-28 13:00:28,096 - Step 2000, Loss: 0.2798, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:01:27,858 - Step 2100, Loss: 0.3282, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:02:29,680 - Step 2200, Loss: 0.3646, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:03:30,839 - Step 2300, Loss: 0.2899, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:04:32,319 - Step 2400, Loss: 0.2825, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:05:34,246 - Step 2500, Loss: 0.2274, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:06:33,852 - Step 2600, Loss: 0.3195, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:07:34,979 - Step 2700, Loss: 0.2425, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:08:36,359 - Step 2800, Loss: 0.2907, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:09:35,551 - Step 2900, Loss: 0.2247, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:10:36,410 - Step 3000, Loss: 0.3081, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:11:39,463 - Step 3100, Loss: 0.2927, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:12:40,572 - Step 3200, Loss: 0.2478, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:13:42,354 - Step 3300, Loss: 0.2780, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:14:42,818 - Step 3400, Loss: 0.2751, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:15:43,805 - Step 3500, Loss: 0.3011, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:16:47,345 - Step 3600, Loss: 0.2352, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:17:48,096 - Step 3700, Loss: 0.3357, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:18:48,088 - Step 3800, Loss: 0.3320, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:19:49,891 - Step 3900, Loss: 0.2447, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:20:50,829 - Step 4000, Loss: 0.2759, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:21:50,871 - Step 4100, Loss: 0.2206, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:22:53,150 - Step 4200, Loss: 0.2677, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:23:53,258 - Step 4300, Loss: 0.2268, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:24:55,092 - Step 4400, Loss: 0.2280, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:25:54,795 - Step 4500, Loss: 0.2681, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:26:54,375 - Step 4600, Loss: 0.2929, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:27:55,701 - Step 4700, Loss: 0.2519, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:28:55,608 - Step 4800, Loss: 0.2042, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:29:55,472 - Step 4900, Loss: 0.2724, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:30:56,979 - Step 5000, Loss: 0.2865, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:31:56,632 - Step 5100, Loss: 0.2805, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:32:56,889 - Step 5200, Loss: 0.2382, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:33:58,538 - Step 5300, Loss: 0.2435, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:34:58,958 - Step 5400, Loss: 0.2772, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:36:00,522 - Step 5500, Loss: 0.2321, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:37:00,575 - Step 5600, Loss: 0.2198, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:38:00,370 - Step 5700, Loss: 0.2815, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:39:01,858 - Step 5800, Loss: 0.2238, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:40:02,192 - Step 5900, Loss: 0.2878, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:41:02,696 - Step 6000, Loss: 0.2551, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:42:04,038 - Step 6100, Loss: 0.2732, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:43:04,373 - Step 6200, Loss: 0.2298, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:44:04,909 - Step 6300, Loss: 0.2444, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:45:06,952 - Step 6400, Loss: 0.3140, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:46:08,145 - Step 6500, Loss: 0.2682, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:47:12,118 - Step 6600, Loss: 0.2478, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:48:12,841 - Step 6700, Loss: 0.2437, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:49:13,038 - Step 6800, Loss: 0.2861, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:50:15,088 - Step 6900, Loss: 0.2202, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:51:16,013 - Step 7000, Loss: 0.3106, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:52:17,187 - Step 7100, Loss: 0.2813, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:53:18,857 - Step 7200, Loss: 0.2533, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:54:19,814 - Step 7300, Loss: 0.2598, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:55:23,017 - Step 7400, Loss: 0.1866, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:56:24,281 - Step 7500, Loss: 0.2304, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:57:23,997 - Step 7600, Loss: 0.2616, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:58:26,414 - Step 7700, Loss: 0.2953, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:59:27,123 - Step 7800, Loss: 0.2539, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:00:27,565 - Step 7900, Loss: 0.3080, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:01:30,154 - Step 8000, Loss: 0.2340, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:02:30,251 - Step 8100, Loss: 0.1751, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:03:30,572 - Step 8200, Loss: 0.2970, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:04:32,388 - Step 8300, Loss: 0.2755, LR: 0.000100
