INFO - plantdoc_diffusion.py - 2025-12-30 03:25:23,245 - Wandb initialized
PlantDoc train: 2668 images, 27 classes
  Augmentation probability: 25.0%
  Top 5 classes: {23: 223, 12: 200, 8: 182, 11: 157, 18: 145}
  Bottom 5 classes: {3: 34, 19: 44, 22: 44, 6: 47, 14: 57}
PlantDoc test: 252 images, 27 classes
  Augmentation probability: 0.0%
  Top 5 classes: {23: 15, 11: 14, 8: 12, 18: 12, 25: 12}
  Bottom 5 classes: {7: 4, 15: 6, 24: 6, 13: 7, 3: 8}
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:40,815 - Saved 252 real images for test
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,359 - ================================================================================
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,360 - Training PlantDoc: 2668 samples, 28 classes
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,360 - Batch: 32, Steps: 150000
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - Diffusion timesteps: 100
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - Augmentation prob: 25.0%
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - Class dropout (CFG): 10.0%
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - AMP: True (torch.bfloat16)
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - Weighted sampler: True
INFO - plantdoc_diffusion.py - 2025-12-30 03:25:41,361 - ================================================================================
INFO - plantdoc_diffusion.py - 2025-12-30 03:26:54,786 - Step 100/150000, Loss: 0.6484, LR: 0.000010
INFO - plantdoc_diffusion.py - 2025-12-30 03:27:35,064 - Step 200/150000, Loss: 0.3694, LR: 0.000020
INFO - plantdoc_diffusion.py - 2025-12-30 03:28:14,554 - Step 300/150000, Loss: 0.4288, LR: 0.000030
INFO - plantdoc_diffusion.py - 2025-12-30 03:29:16,417 - Step 400/150000, Loss: 0.4114, LR: 0.000040
INFO - plantdoc_diffusion.py - 2025-12-30 03:30:14,598 - Step 500/150000, Loss: 0.3273, LR: 0.000050
INFO - plantdoc_diffusion.py - 2025-12-30 03:30:49,008 - Step 600/150000, Loss: 0.3889, LR: 0.000060
INFO - plantdoc_diffusion.py - 2025-12-30 03:31:22,466 - Step 700/150000, Loss: 0.2739, LR: 0.000070
INFO - plantdoc_diffusion.py - 2025-12-30 03:31:56,848 - Step 800/150000, Loss: 0.3917, LR: 0.000080
INFO - plantdoc_diffusion.py - 2025-12-30 03:32:31,907 - Step 900/150000, Loss: 0.3470, LR: 0.000090
INFO - plantdoc_diffusion.py - 2025-12-30 03:33:07,569 - Step 1000/150000, Loss: 0.3988, LR: 0.000100
INFO - plantdoc_diffusion.py - 2025-12-30 03:33:41,698 - Step 1100/150000, Loss: 0.3279, LR: 0.000100
INFO - plantdoc_diffusion.py - 2025-12-30 03:34:16,098 - Step 1200/150000, Loss: 0.3384, LR: 0.000100
INFO - plantdoc_diffusion.py - 2025-12-30 03:34:50,068 - Step 1300/150000, Loss: 0.4196, LR: 0.000100
INFO - plantdoc_diffusion.py - 2025-12-30 03:35:23,723 - Step 1400/150000, Loss: 0.4043, LR: 0.000100
